slot_id,zone,aisle_id,shelf_level,temp_zone,max_weight_kg,aisle_width_m
A01-C-18,A,A01,C,Ambient,150,2.0
A01-C-19,A,A01,C,Ambient,150,2.0
A01-C-20,A,A01,C,Ambient,150,2.0
A01-D-01,A,A01,D,Ambient,150,2.0
A01-D-02,A,A01,D,Ambient,150,2.0
A01-D-03,A,A01,D,Ambient,150,2.0
A01-D-04,A,A01,D,Ambient,150,2.0
A01-D-05,A,A01,D,Ambient,150,2.0
A01-D-06,A,A01,D,Ambient,150,2.0
A01-D-07,A,A01,D,Ambient,150,2.0
A01-D-08,A,A01,D,Ambient,150,2.0
A01-D-09,A,A01,D,Ambient,150,2.0
A01-D-10,A,A01,D,Ambient,150,2.0
A01-D-11,A,A01,D,Ambient,150,2.0
A01-D-12,A,A01,D,Ambient,150,2.0
A01-D-13,A,A01,D,Ambient,150,2.0
A01-D-14,A,A01,D,Ambient,150,2.0
A01-D-15,A,A01,D,Ambient,150,2.0
A01-D-16,A,A01,D,Ambient,150,2.0
A01-D-17,A,A01,D,Ambient,150,2.0
A01-D-18,A,A01,D,Ambient,150,2.0
A01-D-19,A,A01,D,Ambient,150,2.0
A01-D-20,A,A01,D,Ambient,150,2.0
A01-E-01,A,A01,E,Ambient,25,2.0
A01-E-02,A,A01,E,Ambient,25,2.0
A01-E-03,A,A01,E,Ambient,25,2.0
A01-E-04,A,A01,E,Ambient,25,2.0
A01-E-05,A,A01,E,Ambient,25,2.0
A01-E-06,A,A01,E,Ambient,25,2.0
A01-E-07,A,A01,E,Ambient,25,2.0
A01-E-08,A,A01,E,Ambient,25,2.0
A01-E-09,A,A01,E,Ambient,25,2.0
A01-E-10,A,A01,E,Ambient,25,2.0
A01-E-11,A,A01,E,Ambient,25,2.0
A01-E-12,A,A01,E,Ambient,25,2.0
A01-E-13,A,A01,E,Ambient,25,2.0
A01-E-14,A,A01,E,Ambient,25,2.0
A01-E-15,A,A01,E,Ambient,25,2.0
A01-E-16,A,A01,E,Ambient,25,2.0
A01-E-17,A,A01,E,Ambient,25,2.0
A01-E-18,A,A01,E,Ambient,25,2.0
A01-E-19,A,A01,E,Ambient,25,2.0
A01-E-20,A,A01,E,Ambient,25,2.0
A01-F-01,A,A01,F,Ambient,25,2.0
A01-F-02,A,A01,F,Ambient,25,2.0
A01-F-03,A,A01,F,Ambient,25,2.0
A01-F-04,A,A01,F,Ambient,25,2.0
A01-F-05,A,A01,F,Ambient,25,2.0
A01-F-06,A,A01,F,Ambient,25,2.0
A01-F-07,A,A01,F,Ambient,25,2.0
A01-F-08,A,A01,F,Ambient,25,2.0
A01-F-09,A,A01,F,Ambient,25,2.0
A01-F-10,A,A01,F,Ambient,25,2.0
A01-F-11,A,A01,F,Ambient,25,2.0
A01-F-12,A,A01,F,Ambient,25,2.0
A01-F-13,A,A01,F,Ambient,25,2.0
A01-F-14,A,A01,F,Ambient,25,2.0
A01-F-15,A,A01,F,Ambient,25,2.0
A01-F-16,A,A01,F,Ambient,25,2.0
A01-F-17,A,A01,F,Ambient,25,2.0
A01-F-18,A,A01,F,Ambient,25,2.0
A01-F-19,A,A01,F,Ambient,25,2.0
A01-F-20,A,A01,F,Ambient,25,2.0
A02-A-01,A,A02,A,Ambient,150,2.0
A02-A-02,A,A02,A,Ambient,150,2.0
A02-A-03,A,A02,A,Ambient,150,2.0
A02-A-04,A,A02,A,Ambient,150,2.0
A02-A-05,A,A02,A,Ambient,150,2.0
A02-A-06,A,A02,A,Ambient,150,2.0
A02-A-07,A,A02,A,Ambient,150,2.0
A02-A-08,A,A02,A,Ambient,150,2.0
A02-A-09,A,A02,A,Ambient,150,2.0
A02-A-10,A,A02,A,Ambient,150,2.0
A02-A-11,A,A02,A,Ambient,150,2.0
A02-A-12,A,A02,A,Ambient,150,2.0
A02-A-13,A,A02,A,Ambient,150,2.0
A02-A-14,A,A02,A,Ambient,150,2.0
A02-A-15,A,A02,A,Ambient,150,2.0
A02-A-16,A,A02,A,Ambient,150,2.0
A02-A-17,A,A02,A,Ambient,150,2.0
A02-A-18,A,A02,A,Ambient,150,2.0
A02-A-19,A,A02,A,Ambient,150,2.0
A02-A-20,A,A02,A,Ambient,150,2.0
A02-B-01,A,A02,B,Ambient,150,2.0
A02-B-02,A,A02,B,Ambient,150,2.0
A02-B-03,A,A02,B,Ambient,150,2.0
A02-B-04,A,A02,B,Ambient,150,2.0
A02-B-05,A,A02,B,Ambient,150,2.0
A02-B-06,A,A02,B,Ambient,150,2.0
A02-B-07,A,A02,B,Ambient,150,2.0
A02-B-08,A,A02,B,Ambient,150,2.0
A02-B-09,A,A02,B,Ambient,150,2.0
A02-B-10,A,A02,B,Ambient,150,2.0
A02-B-11,A,A02,B,Ambient,150,2.0
A02-B-12,A,A02,B,Ambient,150,2.0
A02-B-13,A,A02,B,Ambient,150,2.0
A02-B-14,A,A02,B,Ambient,150,2.0
A02-B-15,A,A02,B,Ambient,150,2.0
A02-B-16,A,A02,B,Ambient,150,2.0
A02-B-17,A,A02,B,Ambient,150,2.0
A02-B-18,A,A02,B,Ambient,150,2.0
A02-B-19,A,A02,B,Ambient,150,2.0
A02-B-20,A,A02,B,Ambient,150,2.0
A02-C-01,A,A02,C,Ambient,150,2.0
A02-C-02,A,A02,C,Ambient,150,2.0
A02-C-03,A,A02,C,Ambient,150,2.0
A02-C-04,A,A02,C,Ambient,150,2.0
A02-C-05,A,A02,C,Ambient,150,2.0
A02-C-06,A,A02,C,Ambient,150,2.0
A02-C-07,A,A02,C,Ambient,150,2.0
A02-C-08,A,A02,C,Ambient,150,2.0
A02-C-09,A,A02,C,Ambient,150,2.0
A02-C-10,A,A02,C,Ambient,150,2.0
A02-C-11,A,A02,C,Ambient,150,2.0
A02-C-12,A,A02,C,Ambient,150,2.0
A02-C-13,A,A02,C,Ambient,150,2.0
A02-C-14,A,A02,C,Ambient,150,2.0
A02-C-15,A,A02,C,Ambient,150,2.0
A02-C-16,A,A02,C,Ambient,150,2.0
A02-C-17,A,A02,C,Ambient,150,2.0
A02-C-18,A,A02,C,Ambient,150,2.0
A02-C-19,A,A02,C,Ambient,150,2.0
A02-C-20,A,A02,C,Ambient,150,2.0
A02-D-01,A,A02,D,Ambient,150,2.0
A02-D-02,A,A02,D,Ambient,150,2.0
A02-D-03,A,A02,D,Ambient,150,2.0
A02-D-04,A,A02,D,Ambient,150,2.0
A02-D-05,A,A02,D,Ambient,150,2.0
A02-D-06,A,A02,D,Ambient,150,2.0
A02-D-07,A,A02,D,Ambient,150,2.0
A02-D-08,A,A02,D,Ambient,150,2.0
A02-D-09,A,A02,D,Ambient,150,2.0
A02-D-10,A,A02,D,Ambient,150,2.0
A02-D-11,A,A02,D,Ambient,150,2.0
A02-D-12,A,A02,D,Ambient,150,2.0
A02-D-13,A,A02,D,Ambient,150,2.0
A02-D-14,A,A02,D,Ambient,150,2.0
A02-D-15,A,A02,D,Ambient,150,2.0
A02-D-16,A,A02,D,Ambient,150,2.0
A02-D-17,A,A02,D,Ambient,150,2.0
A02-D-18,A,A02,D,Ambient,150,2.0
A02-D-19,A,A02,D,Ambient,150,2.0
A02-D-20,A,A02,D,Ambient,150,2.0
A02-E-01,A,A02,E,Ambient,25,2.0
A02-E-02,A,A02,E,Ambient,25,2.0
A02-E-03,A,A02,E,Ambient,25,2.0
A02-E-04,A,A02,E,Ambient,25,2.0
A02-E-05,A,A02,E,Ambient,25,2.0
A02-E-06,A,A02,E,Ambient,25,2.0
A02-E-07,A,A02,E,Ambient,25,2.0
A02-E-08,A,A02,E,Ambient,25,2.0
A02-E-09,A,A02,E,Ambient,25,2.0
A02-E-10,A,A02,E,Ambient,25,2.0
A02-E-11,A,A02,E,Ambient,25,2.0
A02-E-12,A,A02,E,Ambient,25,2.0
A02-E-13,A,A02,E,Ambient,25,2.0
A02-E-14,A,A02,E,Ambient,25,2.0
A02-E-15,A,A02,E,Ambient,25,2.0
A02-E-16,A,A02,E,Ambient,25,2.0
A02-E-17,A,A02,E,Ambient,25,2.0
A02-E-18,A,A02,E,Ambient,25,2.0
A02-E-19,A,A02,E,Ambient,25,2.0
A02-E-20,A,A02,E,Ambient,25,2.0
A02-F-01,A,A02,F,Ambient,25,2.0
A02-F-02,A,A02,F,Ambient,25,2.0
A02-F-03,A,A02,F,Ambient,25,2.0
A02-F-04,A,A02,F,Ambient,25,2.0
A02-F-05,A,A02,F,Ambient,25,2.0
A02-F-06,A,A02,F,Ambient,25,2.0
A02-F-07,A,A02,F,Ambient,25,2.0
A02-F-08,A,A02,F,Ambient,25,2.0
A02-F-09,A,A02,F,Ambient,25,2.0
A02-F-10,A,A02,F,Ambient,25,2.0
A02-F-11,A,A02,F,Ambient,25,2.0
A02-F-12,A,A02,F,Ambient,25,2.0
A02-F-13,A,A02,F,Ambient,25,2.0
A02-F-14,A,A02,F,Ambient,25,2.0
A02-F-15,A,A02,F,Ambient,25,2.0
A02-F-16,A,A02,F,Ambient,25,2.0
A02-F-17,A,A02,F,Ambient,25,2.0
A02-F-18,A,A02,F,Ambient,25,2.0
A02-F-19,A,A02,F,Ambient,25,2.0
A02-F-20,A,A02,F,Ambient,25,2.0
A03-A-01,A,A03,A,Ambient,150,2.0
A03-A-02,A,A03,A,Ambient,150,2.0
A03-A-03,A,A03,A,Ambient,150,2.0
A03-A-04,A,A03,A,Ambient,150,2.0
A03-A-05,A,A03,A,Ambient,150,2.0
A03-A-06,A,A03,A,Ambient,150,2.0
A03-A-07,A,A03,A,Ambient,150,2.0
A03-A-08,A,A03,A,Ambient,150,2.0
A03-A-09,A,A03,A,Ambient,150,2.0
A03-A-10,A,A03,A,Ambient,150,2.0
A03-A-11,A,A03,A,Ambient,150,2.0
A03-A-12,A,A03,A,Ambient,150,2.0
A03-A-13,A,A03,A,Ambient,150,2.0
A03-A-14,A,A03,A,Ambient,150,2.0
A03-A-15,A,A03,A,Ambient,150,2.0
A03-A-16,A,A03,A,Ambient,150,2.0
A03-A-17,A,A03,A,Ambient,150,2.0
A03-A-18,A,A03,A,Ambient,150,2.0
A03-A-19,A,A03,A,Ambient,150,2.0
A03-A-20,A,A03,A,Ambient,150,2.0
A03-B-01,A,A03,B,Ambient,150,2.0
A03-B-02,A,A03,B,Ambient,150,2.0
A03-B-03,A,A03,B,Ambient,150,2.0
A03-B-04,A,A03,B,Ambient,150,2.0
A03-B-05,A,A03,B,Ambient,150,2.0
A03-B-06,A,A03,B,Ambient,150,2.0
A03-B-07,A,A03,B,Ambient,150,2.0
A03-B-08,A,A03,B,Ambient,150,2.0
A03-B-09,A,A03,B,Ambient,150,2.0
A03-B-10,A,A03,B,Ambient,150,2.0
A03-B-11,A,A03,B,Ambient,150,2.0
A03-B-12,A,A03,B,Ambient,150,2.0
A03-B-13,A,A03,B,Ambient,150,2.0
A03-B-14,A,A03,B,Ambient,150,2.0
A03-B-15,A,A03,B,Ambient,150,2.0
A03-B-16,A,A03,B,Ambient,150,2.0
A03-B-17,A,A03,B,Ambient,150,2.0
A03-B-18,A,A03,B,Ambient,150,2.0
A03-B-19,A,A03,B,Ambient,150,2.0
A03-B-20,A,A03,B,Ambient,150,2.0
A03-C-01,A,A03,C,Ambient,150,2.0
A03-C-02,A,A03,C,Ambient,150,2.0
A03-C-03,A,A03,C,Ambient,150,2.0
A03-C-04,A,A03,C,Ambient,150,2.0
A03-C-05,A,A03,C,Ambient,150,2.0
A03-C-06,A,A03,C,Ambient,150,2.0
A03-C-07,A,A03,C,Ambient,150,2.0
A03-C-08,A,A03,C,Ambient,150,2.0
A03-C-09,A,A03,C,Ambient,150,2.0
A03-C-10,A,A03,C,Ambient,150,2.0
A03-C-11,A,A03,C,Ambient,150,2.0
A03-C-12,A,A03,C,Ambient,150,2.0
A03-C-13,A,A03,C,Ambient,150,2.0
A03-C-14,A,A03,C,Ambient,150,2.0
A03-C-15,A,A03,C,Ambient,150,2.0
A03-C-16,A,A03,C,Ambient,150,2.0
A03-C-17,A,A03,C,Ambient,150,2.0
A03-C-18,A,A03,C,Ambient,150,2.0
A03-C-19,A,A03,C,Ambient,150,2.0
A03-C-20,A,A03,C,Ambient,150,2.0
A03-D-01,A,A03,D,Ambient,150,2.0
A03-D-02,A,A03,D,Ambient,150,2.0
A03-D-03,A,A03,D,Ambient,150,2.0
A03-D-04,A,A03,D,Ambient,150,2.0
A03-D-05,A,A03,D,Ambient,150,2.0
A03-D-06,A,A03,D,Ambient,150,2.0
A03-D-07,A,A03,D,Ambient,150,2.0
A03-D-08,A,A03,D,Ambient,150,2.0
A03-D-09,A,A03,D,Ambient,150,2.0
A03-D-10,A,A03,D,Ambient,150,2.0
A03-D-11,A,A03,D,Ambient,150,2.0
A03-D-12,A,A03,D,Ambient,150,2.0
A03-D-13,A,A03,D,Ambient,150,2.0
A03-D-14,A,A03,D,Ambient,150,2.0
A03-D-15,A,A03,D,Ambient,150,2.0
A03-D-16,A,A03,D,Ambient,150,2.0
A03-D-17,A,A03,D,Ambient,150,2.0
A03-D-18,A,A03,D,Ambient,150,2.0
A03-D-19,A,A03,D,Ambient,150,2.0
A03-D-20,A,A03,D,Ambient,150,2.0
A03-E-01,A,A03,E,Ambient,25,2.0
A03-E-02,A,A03,E,Ambient,25,2.0
A03-E-03,A,A03,E,Ambient,25,2.0
A03-E-04,A,A03,E,Ambient,25,2.0
A03-E-05,A,A03,E,Ambient,25,2.0
A03-E-06,A,A03,E,Ambient,25,2.0
A03-E-07,A,A03,E,Ambient,25,2.0
A03-E-08,A,A03,E,Ambient,25,2.0
A03-E-09,A,A03,E,Ambient,25,2.0
A03-E-10,A,A03,E,Ambient,25,2.0
A03-E-11,A,A03,E,Ambient,25,2.0
A03-E-12,A,A03,E,Ambient,25,2.0
A03-E-13,A,A03,E,Ambient,25,2.0
A03-E-14,A,A03,E,Ambient,25,2.0
A03-E-15,A,A03,E,Ambient,25,2.0
A03-E-16,A,A03,E,Ambient,25,2.0
A03-E-17,A,A03,E,Ambient,25,2.0
A03-E-18,A,A03,E,Ambient,25,2.0
A03-E-19,A,A03,E,Ambient,25,2.0
A03-E-20,A,A03,E,Ambient,25,2.0
A03-F-01,A,A03,F,Ambient,25,2.0
A03-F-02,A,A03,F,Ambient,25,2.0
A03-F-03,A,A03,F,Ambient,25,2.0
A03-F-04,A,A03,F,Ambient,25,2.0
A03-F-05,A,A03,F,Ambient,25,2.0
A03-F-06,A,A03,F,Ambient,25,2.0
A03-F-07,A,A03,F,Ambient,25,2.0
A03-F-08,A,A03,F,Ambient,25,2.0
A03-F-09,A,A03,F,Ambient,25,2.0
A03-F-10,A,A03,F,Ambient,25,2.0
A03-F-11,A,A03,F,Ambient,25,2.0
A03-F-12,A,A03,F,Ambient,25,2.0
A03-F-13,A,A03,F,Ambient,25,2.0
A03-F-14,A,A03,F,Ambient,25,2.0
A03-F-15,A,A03,F,Ambient,25,2.0
A03-F-16,A,A03,F,Ambient,25,2.0
A03-F-17,A,A03,F,Ambient,25,2.0
A03-F-18,A,A03,F,Ambient,25,2.0
A03-F-19,A,A03,F,Ambient,25,2.0
A03-F-20,A,A03,F,Ambient,25,2.0
A04-A-01,A,A04,A,Ambient,150,2.0
A04-A-02,A,A04,A,Ambient,150,2.0
A04-A-03,A,A04,A,Ambient,150,2.0
A04-A-04,A,A04,A,Ambient,150,2.0
A04-A-05,A,A04,A,Ambient,150,2.0
A04-A-06,A,A04,A,Ambient,150,2.0
A04-A-07,A,A04,A,Ambient,150,2.0
A04-A-08,A,A04,A,Ambient,150,2.0
A04-A-09,A,A04,A,Ambient,150,2.0
A04-A-10,A,A04,A,Ambient,150,2.0
A04-A-11,A,A04,A,Ambient,150,2.0
A04-A-12,A,A04,A,Ambient,150,2.0
A04-A-13,A,A04,A,Ambient,150,2.0
A04-A-14,A,A04,A,Ambient,150,2.0
A04-A-15,A,A04,A,Ambient,150,2.0
A04-A-16,A,A04,A,Ambient,150,2.0
A04-A-17,A,A04,A,Ambient,150,2.0
A04-A-18,A,A04,A,Ambient,150,2.0
A04-A-19,A,A04,A,Ambient,150,2.0
A04-A-20,A,A04,A,Ambient,150,2.0
A04-B-01,A,A04,B,Ambient,150,2.0
A04-B-02,A,A04,B,Ambient,150,2.0
A04-B-03,A,A04,B,Ambient,150,2.0
A04-B-04,A,A04,B,Ambient,150,2.0
A04-B-05,A,A04,B,Ambient,150,2.0
A04-B-06,A,A04,B,Ambient,150,2.0
A04-B-07,A,A04,B,Ambient,150,2.0
A04-B-08,A,A04,B,Ambient,150,2.0
A04-B-09,A,A04,B,Ambient,150,2.0
A04-B-10,A,A04,B,Ambient,150,2.0
A04-B-11,A,A04,B,Ambient,150,2.0
A04-B-12,A,A04,B,Ambient,150,2.0
A04-B-13,A,A04,B,Ambient,150,2.0
A04-B-14,A,A04,B,Ambient,150,2.0
A04-B-15,A,A04,B,Ambient,150,2.0
A04-B-16,A,A04,B,Ambient,150,2.0
A04-B-17,A,A04,B,Ambient,150,2.0
A04-B-18,A,A04,B,Ambient,150,2.0
A04-B-19,A,A04,B,Ambient,150,2.0
A04-B-20,A,A04,B,Ambient,150,2.0
A04-C-01,A,A04,C,Ambient,150,2.0
A04-C-02,A,A04,C,Ambient,150,2.0
A04-C-03,A,A04,C,Ambient,150,2.0
A04-C-04,A,A04,C,Ambient,150,2.0
A04-C-05,A,A04,C,Ambient,150,2.0
A04-C-06,A,A04,C,Ambient,150,2.0
A04-C-07,A,A04,C,Ambient,150,2.0
A04-C-08,A,A04,C,Ambient,150,2.0
A04-C-09,A,A04,C,Ambient,150,2.0
A04-C-10,A,A04,C,Ambient,150,2.0
A04-C-11,A,A04,C,Ambient,150,2.0
A04-C-12,A,A04,C,Ambient,150,2.0
A04-C-13,A,A04,C,Ambient,150,2.0
A04-C-14,A,A04,C,Ambient,150,2.0
A04-C-15,A,A04,C,Ambient,150,2.0
A04-C-16,A,A04,C,Ambient,150,2.0
A04-C-17,A,A04,C,Ambient,150,2.0
A04-C-18,A,A04,C,Ambient,150,2.0
A04-C-19,A,A04,C,Ambient,150,2.0
A04-C-20,A,A04,C,Ambient,150,2.0
A04-D-01,A,A04,D,Ambient,150,2.0
A04-D-02,A,A04,D,Ambient,150,2.0
A04-D-03,A,A04,D,Ambient,150,2.0
A04-D-04,A,A04,D,Ambient,150,2.0
A04-D-05,A,A04,D,Ambient,150,2.0
A04-D-06,A,A04,D,Ambient,150,2.0
A04-D-07,A,A04,D,Ambient,150,2.0
A04-D-08,A,A04,D,Ambient,150,2.0
A04-D-09,A,A04,D,Ambient,150,2.0
A04-D-10,A,A04,D,Ambient,150,2.0
A04-D-11,A,A04,D,Ambient,150,2.0
A04-D-12,A,A04,D,Ambient,150,2.0
A04-D-13,A,A04,D,Ambient,150,2.0
A04-D-14,A,A04,D,Ambient,150,2.0
A04-D-15,A,A04,D,Ambient,150,2.0
A04-D-16,A,A04,D,Ambient,150,2.0
A04-D-17,A,A04,D,Ambient,150,2.0
A04-D-18,A,A04,D,Ambient,150,2.0
A04-D-19,A,A04,D,Ambient,150,2.0
A04-D-20,A,A04,D,Ambient,150,2.0
A04-E-01,A,A04,E,Ambient,25,2.0
A04-E-02,A,A04,E,Ambient,25,2.0
A04-E-03,A,A04,E,Ambient,25,2.0
A04-E-04,A,A04,E,Ambient,25,2.0
A04-E-05,A,A04,E,Ambient,25,2.0
A04-E-06,A,A04,E,Ambient,25,2.0
A04-E-07,A,A04,E,Ambient,25,2.0
A04-E-08,A,A04,E,Ambient,25,2.0
A04-E-09,A,A04,E,Ambient,25,2.0
A04-E-10,A,A04,E,Ambient,25,2.0
A04-E-11,A,A04,E,Ambient,25,2.0
A04-E-12,A,A04,E,Ambient,25,2.0
A04-E-13,A,A04,E,Ambient,25,2.0
A04-E-14,A,A04,E,Ambient,25,2.0
A04-E-15,A,A04,E,Ambient,25,2.0
A04-E-16,A,A04,E,Ambient,25,2.0
A04-E-17,A,A04,E,Ambient,25,2.0
A04-E-18,A,A04,E,Ambient,25,2.0
A04-E-19,A,A04,E,Ambient,25,2.0
A04-E-20,A,A04,E,Ambient,25,2.0
A04-F-01,A,A04,F,Ambient,25,2.0
A04-F-02,A,A04,F,Ambient,25,2.0
A04-F-03,A,A04,F,Ambient,25,2.0
A04-F-04,A,A04,F,Ambient,25,2.0
A04-F-05,A,A04,F,Ambient,25,2.0
A04-F-06,A,A04,F,Ambient,25,2.0
A04-F-07,A,A04,F,Ambient,25,2.0
A04-F-08,A,A04,F,Ambient,25,2.0
A04-F-09,A,A04,F,Ambient,25,2.0
A04-F-10,A,A04,F,Ambient,25,2.0
A04-F-11,A,A04,F,Ambient,25,2.0
A04-F-12,A,A04,F,Ambient,25,2.0
A04-F-13,A,A04,F,Ambient,25,2.0
A04-F-14,A,A04,F,Ambient,25,2.0
A04-F-15,A,A04,F,Ambient,25,2.0
A04-F-16,A,A04,F,Ambient,25,2.0
A04-F-17,A,A04,F,Ambient,25,2.0
A04-F-18,A,A04,F,Ambient,25,2.0
A04-F-19,A,A04,F,Ambient,25,2.0
A04-F-20,A,A04,F,Ambient,25,2.0
A05-A-01,A,A05,A,Ambient,150,2.0
A05-A-02,A,A05,A,Ambient,150,2.0
A05-A-03,A,A05,A,Ambient,150,2.0
A05-A-04,A,A05,A,Ambient,150,2.0
A05-A-05,A,A05,A,Ambient,150,2.0
A05-A-06,A,A05,A,Ambient,150,2.0
A05-A-07,A,A05,A,Ambient,150,2.0
A05-A-08,A,A05,A,Ambient,150,2.0
A05-A-09,A,A05,A,Ambient,150,2.0
A05-A-10,A,A05,A,Ambient,150,2.0
A05-A-11,A,A05,A,Ambient,150,2.0
A05-A-12,A,A05,A,Ambient,150,2.0
A05-A-13,A,A05,A,Ambient,150,2.0
A05-A-14,A,A05,A,Ambient,150,2.0
A05-A-15,A,A05,A,Ambient,150,2.0
A05-A-16,A,A05,A,Ambient,150,2.0
A05-A-17,A,A05,A,Ambient,150,2.0
A05-A-18,A,A05,A,Ambient,150,2.0
A05-A-19,A,A05,A,Ambient,150,2.0
A05-A-20,A,A05,A,Ambient,150,2.0
A05-B-01,A,A05,B,Ambient,150,2.0
A05-B-02,A,A05,B,Ambient,150,2.0
A05-B-03,A,A05,B,Ambient,150,2.0
A05-B-04,A,A05,B,Ambient,150,2.0
A05-B-05,A,A05,B,Ambient,150,2.0
A05-B-06,A,A05,B,Ambient,150,2.0
A05-B-07,A,A05,B,Ambient,150,2.0
A05-B-08,A,A05,B,Ambient,150,2.0
A05-B-09,A,A05,B,Ambient,150,2.0
A05-B-10,A,A05,B,Ambient,150,2.0
A05-B-11,A,A05,B,Ambient,150,2.0
A05-B-12,A,A05,B,Ambient,150,2.0
A05-B-13,A,A05,B,Ambient,150,2.0
A05-B-14,A,A05,B,Ambient,150,2.0
A05-B-15,A,A05,B,Ambient,150,2.0
A05-B-16,A,A05,B,Ambient,150,2.0
A05-B-17,A,A05,B,Ambient,150,2.0
A05-B-18,A,A05,B,Ambient,150,2.0
A05-B-19,A,A05,B,Ambient,150,2.0
A05-B-20,A,A05,B,Ambient,150,2.0
A05-C-01,A,A05,C,Ambient,150,2.0
A05-C-02,A,A05,C,Ambient,150,2.0
A05-C-03,A,A05,C,Ambient,150,2.0
A05-C-04,A,A05,C,Ambient,150,2.0
A05-C-05,A,A05,C,Ambient,150,2.0
A05-C-06,A,A05,C,Ambient,150,2.0
A05-C-07,A,A05,C,Ambient,150,2.0
A05-C-08,A,A05,C,Ambient,150,2.0
A05-C-09,A,A05,C,Ambient,150,2.0
A05-C-10,A,A05,C,Ambient,150,2.0
A05-C-11,A,A05,C,Ambient,150,2.0
A05-C-12,A,A05,C,Ambient,150,2.0
A05-C-13,A,A05,C,Ambient,150,2.0
A05-C-14,A,A05,C,Ambient,150,2.0
A05-C-15,A,A05,C,Ambient,150,2.0
A05-C-16,A,A05,C,Ambient,150,2.0
A05-C-17,A,A05,C,Ambient,150,2.0
A05-C-18,A,A05,C,Ambient,150,2.0
A05-C-19,A,A05,C,Ambient,150,2.0
A05-C-20,A,A05,C,Ambient,150,2.0
A05-D-01,A,A05,D,Ambient,150,2.0
A05-D-02,A,A05,D,Ambient,150,2.0
A05-D-03,A,A05,D,Ambient,150,2.0
A05-D-04,A,A05,D,Ambient,150,2.0
A05-D-05,A,A05,D,Ambient,150,2.0
A05-D-06,A,A05,D,Ambient,150,2.0
A05-D-07,A,A05,D,Ambient,150,2.0
A05-D-08,A,A05,D,Ambient,150,2.0
A05-D-09,A,A05,D,Ambient,150,2.0
A05-D-10,A,A05,D,Ambient,150,2.0
A05-D-11,A,A05,D,Ambient,150,2.0
A05-D-12,A,A05,D,Ambient,150,2.0
A05-D-13,A,A05,D,Ambient,150,2.0
A05-D-14,A,A05,D,Ambient,150,2.0
A05-D-15,A,A05,D,Ambient,150,2.0
A05-D-16,A,A05,D,Ambient,150,2.0
