sku_id,temp_req,temp_zone,current_slot
SKU-10175,Frozen,Ambient,A20-B-13
SKU-10176,Frozen,Ambient,F11-E-08
SKU-10178,Frozen,Ambient,B25-F-14
SKU-10180,Frozen,Ambient,B07-D-13
SKU-10181,Refrigerated,Frozen,D15-C-11
SKU-10182,Ambient,Frozen,D12-B-03
SKU-10183,Refrigerated,Ambient,B04-F-01
SKU-10184,Refrigerated,Ambient,B21-A-08
SKU-10187,Refrigerated,Ambient,A15-F-11
SKU-10188,Frozen,Ambient,F08-B-19
SKU-10189,Refrigerated,Ambient,A12-D-01
SKU-10190,Ambient,Frozen,D22-D-19
SKU-10191,Ambient,Refrigerated,C09-E-16
SKU-10192,Refrigerated,Ambient,F17-A-02
SKU-10194,Frozen,Ambient,B24-F-11
SKU-10196,Refrigerated,Ambient,F18-D-13
SKU-10208,Refrigerated,Frozen,D13-A-03
SKU-10209,Frozen,Ambient,E03-F-08
SKU-10210,Ambient,Frozen,D03-D-18
SKU-10212,Frozen,Ambient,B20-D-15
SKU-10215,Refrigerated,Ambient,E10-F-03
SKU-10216,Ambient,Refrigerated,C25-C-08
SKU-10218,Frozen,Ambient,B15-E-02
SKU-10220,Refrigerated,Ambient,F21-C-05
SKU-10225,Ambient,Refrigerated,C13-C-15
SKU-10230,Frozen,Ambient,B19-D-01
SKU-10231,Frozen,Ambient,B25-E-18
SKU-10232,Refrigerated,Frozen,D01-F-09
SKU-10234,Refrigerated,Ambient,F07-D-14
SKU-10235,Refrigerated,Ambient,E11-F-17
SKU-10238,Refrigerated,Ambient,E18-C-03
SKU-10241,Refrigerated,Ambient,A05-B-17
SKU-10243,Refrigerated,Ambient,E04-E-15
SKU-10244,Refrigerated,Frozen,D20-D-19
SKU-10245,Frozen,Ambient,E11-E-16
SKU-10247,Frozen,Ambient,E20-A-09
SKU-10248,Frozen,Ambient,E23-E-16
SKU-10250,Frozen,Ambient,F25-B-13
SKU-10251,Refrigerated,Ambient,E23-D-18
SKU-10252,Refrigerated,Ambient,E15-A-20
SKU-10253,Frozen,Ambient,A25-C-07
SKU-10254,Frozen,Ambient,E21-B-08
SKU-10255,Ambient,Refrigerated,C08-A-01
SKU-10256,Ambient,Frozen,D07-C-11
SKU-10257,Frozen,Ambient,E11-E-17
SKU-10258,Ambient,Frozen,D17-E-01
SKU-10259,Frozen,Ambient,E03-A-15
SKU-10260,Refrigerated,Ambient,B13-D-11
SKU-10262,Refrigerated,Ambient,F04-A-02
SKU-10273,Ambient,Frozen,D05-A-08
SKU-10276,Ambient,Frozen,D13-D-08
SKU-10278,Refrigerated,Ambient,F05-E-02
SKU-10279,Frozen,Ambient,B22-E-15
SKU-10280,Refrigerated,Ambient,B05-A-10
SKU-10281,Frozen,Ambient,B21-B-07
SKU-10282,Ambient,Frozen,D19-F-09
SKU-10283,Ambient,Frozen,D06-F-02
SKU-10286,Ambient,Frozen,D18-C-19
SKU-10287,Ambient,Frozen,D21-E-03
SKU-10288,Refrigerated,Ambient,A09-C-08
SKU-10290,Frozen,Ambient,A12-B-06
SKU-10291,Ambient,Refrigerated,C12-C-03
SKU-10292,Refrigerated,Ambient,E22-A-10
SKU-10293,Ambient,Refrigerated,C06-A-13
SKU-10294,Ambient,Refrigerated,C08-B-06
SKU-10295,Frozen,Ambient,A10-E-05
SKU-10297,Refrigerated,Ambient,E25-F-14
SKU-10299,Frozen,Ambient,E24-A-18
SKU-10302,Refrigerated,Ambient,F23-F-08
SKU-10305,Frozen,Ambient,E07-C-04
SKU-10306,Frozen,Ambient,A11-F-17
SKU-10308,Ambient,Frozen,D14-F-07
SKU-10309,Frozen,Refrigerated,C18-D-14
SKU-10310,Frozen,Ambient,B01-F-02
SKU-10311,Refrigerated,Ambient,F19-A-14
SKU-10312,Ambient,Frozen,D10-B-01
SKU-10316,Frozen,Ambient,E15-E-01
SKU-10319,Refrigerated,Ambient,F24-A-11
SKU-10321,Frozen,Ambient,E15-E-16
SKU-10322,Refrigerated,Ambient,B20-A-01
SKU-10327,Frozen,Ambient,B25-A-18
SKU-10328,Refrigerated,Ambient,E01-A-09
SKU-10331,Frozen,Ambient,E07-E-06
SKU-10336,Refrigerated,Ambient,B25-B-05
SKU-10338,Refrigerated,Frozen,D05-F-18
SKU-10340,Frozen,Ambient,B05-A-15
SKU-10341,Refrigerated,Ambient,F06-D-17
SKU-10342,Ambient,Refrigerated,C12-A-10
SKU-10343,Frozen,Ambient,B13-F-01
SKU-10346,Frozen,Ambient,F21-C-15
SKU-10348,Refrigerated,Frozen,D16-C-05
SKU-10351,Frozen,Refrigerated,C17-B-08
SKU-10352,Ambient,Frozen,D05-E-20
SKU-10354,Frozen,Ambient,E21-E-11
SKU-10359,Ambient,Frozen,D01-B-02
SKU-10360,Frozen,Refrigerated,C05-B-16
SKU-10362,Ambient,Frozen,D09-C-18
SKU-10364,Ambient,Frozen,D11-C-11
SKU-10367,Refrigerated,Ambient,A19-F-20
SKU-10368,Ambient,Refrigerated,C15-E-13
SKU-10370,Refrigerated,Ambient,B11-E-17
SKU-10371,Frozen,Refrigerated,C22-E-18
SKU-10374,Ambient,Refrigerated,C12-E-06
SKU-10376,Frozen,Ambient,B22-D-19
SKU-10377,Frozen,Ambient,A19-A-07
SKU-10381,Frozen,Refrigerated,C08-B-02
SKU-10382,Refrigerated,Ambient,F02-C-14
SKU-10383,Refrigerated,Frozen,D19-A-11
SKU-10384,Frozen,Ambient,F23-C-03
SKU-10386,Frozen,Ambient,B25-E-05
SKU-10387,Ambient,Refrigerated,C11-E-09
SKU-10388,Ambient,Frozen,D02-F-03
SKU-10389,Ambient,Frozen,D12-D-02
SKU-10390,Refrigerated,Ambient,B02-B-07
SKU-10391,Refrigerated,Frozen,D22-F-03
SKU-10392,Frozen,Ambient,A08-E-16
SKU-10393,Ambient,Frozen,D16-F-02
SKU-10394,Refrigerated,Ambient,B24-F-01
SKU-10395,Frozen,Ambient,B15-A-11
SKU-10396,Refrigerated,Ambient,E22-B-13
SKU-10397,Frozen,Ambient,B05-A-16
SKU-10400,Refrigerated,Ambient,F02-F-14
SKU-10401,Ambient,Frozen,D16-F-12
SKU-10404,Refrigerated,Ambient,A02-E-01
SKU-10406,Refrigerated,Frozen,D11-E-19
SKU-10407,Ambient,Refrigerated,C07-C-01
SKU-10408,Ambient,Frozen,D18-F-09
SKU-10409,Ambient,Refrigerated,C10-D-06
SKU-10411,Ambient,Frozen,D11-B-09
SKU-10413,Ambient,Frozen,D02-D-02
SKU-10414,Frozen,Ambient,A13-A-06
SKU-10415,Refrigerated,Frozen,D02-B-09
SKU-10417,Frozen,Ambient,B03-F-17
SKU-10419,Refrigerated,Ambient,A01-D-03
SKU-10423,Frozen,Ambient,A23-A-18
SKU-10428,Ambient,Refrigerated,C17-C-01
SKU-10429,Ambient,Refrigerated,C24-A-15
SKU-10431,Refrigerated,Ambient,A22-E-18
SKU-10433,Ambient,Frozen,D24-A-12
SKU-10436,Refrigerated,Ambient,B07-A-07
SKU-10437,Refrigerated,Ambient,F24-F-13
SKU-10442,Frozen,Ambient,E01-F-05
SKU-10443,Refrigerated,Frozen,D16-B-20
SKU-10444,Ambient,Frozen,D20-D-17
SKU-10448,Refrigerated,Ambient,A22-D-12
SKU-10450,Frozen,Refrigerated,C16-B-07
SKU-10451,Ambient,Refrigerated,C22-E-08
SKU-10452,Ambient,Refrigerated,C07-F-04
SKU-10453,Ambient,Frozen,D06-F-03
SKU-10455,Frozen,Ambient,B22-C-02
SKU-10456,Frozen,Ambient,B15-A-19
SKU-10457,Ambient,Refrigerated,C10-F-15
SKU-10458,Refrigerated,Ambient,F20-F-02
SKU-10464,Frozen,Ambient,F02-D-06
SKU-10466,Refrigerated,Ambient,F12-B-06
SKU-10467,Refrigerated,Ambient,F21-F-04
SKU-10468,Frozen,Ambient,A04-B-10
SKU-10469,Frozen,Ambient,F20-C-08
SKU-10472,Refrigerated,Frozen,D25-E-08
SKU-10473,Refrigerated,Ambient,F04-D-10
SKU-10476,Frozen,Ambient,F02-A-04
SKU-10477,Frozen,Ambient,E18-C-05
SKU-10478,Ambient,Frozen,D24-E-16
SKU-10479,Refrigerated,Ambient,A23-E-10
SKU-10480,Refrigerated,Ambient,A14-B-17
SKU-10484,Refrigerated,Ambient,F06-F-14
SKU-10485,Refrigerated,Ambient,B09-E-13
SKU-10486,Refrigerated,Frozen,D20-E-15
SKU-10488,Frozen,Refrigerated,C10-F-02
SKU-10489,Ambient,Refrigerated,C25-B-02
SKU-10490,Refrigerated,Ambient,A23-F-10
SKU-10491,Frozen,Ambient,E22-F-15
SKU-10492,Frozen,Ambient,B01-C-09
SKU-10493,Refrigerated,Ambient,A09-C-17
SKU-10494,Refrigerated,Ambient,E18-C-16
SKU-10495,Ambient,Frozen,D02-E-17
SKU-10496,Refrigerated,Ambient,A18-B-05
SKU-10497,Frozen,Ambient,F24-E-05
SKU-10500,Refrigerated,Frozen,D14-A-15
SKU-10501,Frozen,Ambient,E25-F-19
SKU-10502,Frozen,Ambient,E11-A-18
SKU-10504,Ambient,Frozen,D09-F-15
SKU-10505,Frozen,Ambient,B21-B-18
SKU-10506,Frozen,Ambient,B04-C-17
SKU-10507,Ambient,Frozen,D09-C-11
SKU-10508,Refrigerated,Frozen,D23-A-04
SKU-10509,Frozen,Ambient,A11-D-16
SKU-10510,Refrigerated,Ambient,B11-E-14
SKU-10512,Ambient,Refrigerated,C09-B-16
SKU-10517,Refrigerated,Ambient,E18-D-04
SKU-10518,Ambient,Refrigerated,C23-E-11
SKU-10519,Ambient,Frozen,D04-F-05
SKU-10520,Refrigerated,Frozen,D18-D-12
SKU-10523,Ambient,Frozen,D22-B-17
SKU-10524,Frozen,Refrigerated,C08-B-17
SKU-10525,Frozen,Ambient,F16-D-02
SKU-10527,Ambient,Refrigerated,C08-E-05
SKU-10528,Refrigerated,Ambient,E18-E-13
SKU-10531,Refrigerated,Ambient,B01-C-10
SKU-10532,Refrigerated,Ambient,E04-A-15
SKU-10533,Refrigerated,Ambient,E06-F-07
SKU-10534,Refrigerated,Ambient,F22-D-18
SKU-10535,Refrigerated,Ambient,B05-B-09
SKU-10538,Ambient,Refrigerated,C22-F-06
SKU-10540,Ambient,Frozen,D23-F-15
SKU-10541,Frozen,Ambient,B25-A-03
SKU-10542,Frozen,Ambient,F03-C-05
SKU-10544,Frozen,Ambient,F02-C-12
SKU-10545,Refrigerated,Ambient,F07-F-20
SKU-10546,Frozen,Refrigerated,C20-D-10
SKU-10547,Ambient,Frozen,D19-F-05
SKU-10548,Ambient,Frozen,D12-B-20
SKU-10549,Frozen,Ambient,F25-A-14
SKU-10550,Refrigerated,Frozen,D03-E-16
SKU-10551,Refrigerated,Ambient,B18-C-12
SKU-10552,Ambient,Refrigerated,C24-A-02
SKU-10553,Ambient,Frozen,D22-D-02
SKU-10554,Ambient,Frozen,D24-D-17
SKU-10555,Frozen,Ambient,A03-B-16
SKU-10556,Refrigerated,Ambient,E10-B-11
SKU-10559,Frozen,Ambient,E22-B-15
SKU-10560,Frozen,Ambient,A19-D-03
SKU-10561,Ambient,Refrigerated,C17-D-03
SKU-10565,Frozen,Refrigerated,C14-A-18
SKU-10567,Ambient,Refrigerated,C14-E-08
SKU-10568,Ambient,Refrigerated,C01-A-15
SKU-10569,Ambient,Frozen,D20-F-17
SKU-10570,Frozen,Refrigerated,C19-F-20
SKU-10571,Ambient,Frozen,D08-D-05
SKU-10572,Ambient,Frozen,D21-A-08
SKU-10574,Ambient,Frozen,D01-D-09
SKU-10575,Ambient,Frozen,D20-D-18
SKU-10576,Refrigerated,Ambient,A15-F-04
SKU-10577,Refrigerated,Ambient,B04-B-17
SKU-10579,Refrigerated,Ambient,F23-C-08
SKU-10584,Ambient,Refrigerated,C17-E-18
SKU-10586,Refrigerated,Ambient,A12-A-01
SKU-10587,Ambient,Refrigerated,C18-B-18
SKU-10588,Frozen,Ambient,F06-B-06
SKU-10589,Ambient,Refrigerated,C25-C-02
SKU-10591,Ambient,Refrigerated,C09-B-17
SKU-10592,Frozen,Refrigerated,C04-A-13
SKU-10593,Refrigerated,Ambient,E05-A-12
SKU-10594,Refrigerated,Ambient,B17-C-11
SKU-10596,Ambient,Refrigerated,C10-A-16
SKU-10597,Ambient,Refrigerated,C03-F-06
SKU-10600,Refrigerated,Frozen,D06-B-01
SKU-10602,Refrigerated,Ambient,A08-A-09
SKU-10603,Ambient,Refrigerated,C10-F-13
SKU-10604,Refrigerated,Ambient,B18-F-17
SKU-10605,Frozen,Ambient,A06-E-14
SKU-10606,Frozen,Ambient,E01-B-09
SKU-10607,Refrigerated,Ambient,F08-A-12
SKU-10609,Frozen,Ambient,B14-A-04
SKU-10610,Refrigerated,Ambient,E24-B-12
SKU-10611,Frozen,Refrigerated,C13-B-17
SKU-10612,Ambient,Frozen,D01-A-04
SKU-10614,Ambient,Refrigerated,C06-A-06
SKU-10615,Frozen,Ambient,B08-C-18
SKU-10618,Refrigerated,Ambient,A18-C-11
SKU-10621,Frozen,Ambient,B12-C-12
SKU-10622,Refrigerated,Ambient,F12-E-08
SKU-10623,Ambient,Refrigerated,C02-C-20
SKU-10626,Frozen,Ambient,E22-C-16
SKU-10630,Frozen,Ambient,E03-E-19
SKU-10631,Frozen,Refrigerated,C01-B-01
SKU-10632,Frozen,Ambient,B13-E-16
SKU-10633,Ambient,Frozen,D12-E-09
SKU-10634,Frozen,Ambient,E08-A-19
SKU-10637,Refrigerated,Ambient,E06-A-20
SKU-10639,Frozen,Refrigerated,C12-C-07
SKU-10640,Frozen,Ambient,F10-A-14
SKU-10641,Ambient,Frozen,D17-E-20
SKU-10646,Ambient,Frozen,D10-D-06
SKU-10647,Frozen,Ambient,A09-B-10
SKU-10648,Frozen,Refrigerated,C06-E-15
SKU-10649,Ambient,Frozen,D16-E-06
SKU-10652,Ambient,Refrigerated,C06-F-03
SKU-10653,Frozen,Ambient,A07-A-08
SKU-10654,Frozen,Ambient,B20-F-07
SKU-10655,Ambient,Frozen,D21-B-10
SKU-10656,Frozen,Ambient,F07-B-11
SKU-10659,Frozen,Ambient,A21-C-03
SKU-10660,Frozen,Ambient,B15-E-06
SKU-10661,Frozen,Refrigerated,C08-D-11
SKU-10662,Frozen,Ambient,A06-C-06
SKU-10665,Ambient,Frozen,D07-B-20
SKU-10666,Ambient,Refrigerated,C10-F-20
SKU-10667,Ambient,Frozen,D11-E-04
SKU-10668,Ambient,Refrigerated,C15-A-19
SKU-10669,Frozen,Ambient,B24-C-05
SKU-10671,Ambient,Frozen,D02-A-05
SKU-10672,Frozen,Ambient,B20-B-11
SKU-10673,Ambient,Frozen,D06-F-13
SKU-10674,Ambient,Frozen,D11-A-18
SKU-10675,Frozen,Ambient,B02-A-08
SKU-10679,Ambient,Refrigerated,C18-A-18
SKU-10681,Ambient,Refrigerated,C15-B-03
SKU-10682,Refrigerated,Ambient,E20-B-10
SKU-10684,Refrigerated,Ambient,F10-F-15
SKU-10685,Refrigerated,Ambient,A20-A-20
SKU-10687,Frozen,Ambient,E14-F-18
SKU-10690,Frozen,Ambient,E07-D-20
SKU-10692,Ambient,Frozen,D25-B-01
SKU-10694,Refrigerated,Ambient,A08-C-20
SKU-10695,Refrigerated,Ambient,A25-D-07
SKU-10697,Refrigerated,Ambient,E15-A-14
SKU-10698,Ambient,Refrigerated,C07-A-19
SKU-10700,Refrigerated,Frozen,D02-C-07
SKU-10701,Ambient,Frozen,D01-B-04
SKU-10704,Frozen,Refrigerated,C21-E-18
SKU-10708,Frozen,Ambient,F18-A-03
SKU-10711,Ambient,Refrigerated,C20-F-16
SKU-10714,Refrigerated,Ambient,F04-C-04
SKU-10716,Ambient,Frozen,D06-F-12
SKU-10718,Frozen,Ambient,E24-E-12
SKU-10720,Ambient,Frozen,D04-E-05
SKU-10722,Refrigerated,Frozen,D15-C-09
SKU-10723,Refrigerated,Ambient,E06-A-17
SKU-10724,Refrigerated,Ambient,F05-E-16
SKU-10726,Ambient,Frozen,D02-C-04
SKU-10727,Refrigerated,Ambient,A01-F-13
SKU-10728,Ambient,Frozen,D08-C-10
SKU-10729,Ambient,Frozen,D19-A-02
SKU-10730,Ambient,Refrigerated,C16-B-04
SKU-10731,Ambient,Refrigerated,C17-B-12
SKU-10732,Refrigerated,Ambient,A25-A-18
SKU-10733,Refrigerated,Ambient,B20-C-08
SKU-10734,Ambient,Refrigerated,C24-D-13
SKU-10735,Refrigerated,Ambient,F21-F-07
SKU-10736,Refrigerated,Ambient,A01-A-05
SKU-10737,Ambient,Refrigerated,C23-F-05
SKU-10740,Frozen,Ambient,A01-B-01
SKU-10741,Frozen,Ambient,B20-E-15
SKU-10742,Ambient,Refrigerated,C21-D-16
SKU-10743,Refrigerated,Ambient,A21-C-11
SKU-10744,Frozen,Ambient,F01-F-04
SKU-10747,Ambient,Refrigerated,C01-D-02
SKU-10748,Ambient,Refrigerated,C01-C-17
SKU-10750,Ambient,Frozen,D21-C-04
SKU-10752,Ambient,Refrigerated,C03-C-05
SKU-10753,Ambient,Refrigerated,C22-B-08
SKU-10754,Refrigerated,Ambient,A16-D-11
SKU-10755,Refrigerated,Ambient,A06-F-16
SKU-10760,Frozen,Ambient,A09-D-08
SKU-10761,Ambient,Frozen,D21-A-05
SKU-10770,Ambient,Frozen,D12-D-02
SKU-10771,Refrigerated,Ambient,A17-C-18
SKU-10772,Frozen,Ambient,E17-D-16
SKU-10773,Refrigerated,Ambient,E20-F-19
SKU-10774,Refrigerated,Ambient,A25-F-11
SKU-10775,Ambient,Refrigerated,C08-E-08
SKU-10777,Ambient,Refrigerated,C01-D-15
SKU-10778,Refrigerated,Ambient,A21-F-08
SKU-10780,Ambient,Frozen,D20-C-10
SKU-10781,Ambient,Frozen,D07-E-03
SKU-10782,Refrigerated,Ambient,E19-E-11
SKU-10783,Refrigerated,Ambient,B17-E-11
SKU-10784,Ambient,Refrigerated,C05-D-02
SKU-10785,Ambient,Refrigerated,C18-A-01
SKU-10787,Frozen,Ambient,A14-B-01
SKU-10789,Frozen,Refrigerated,C20-B-03
SKU-10790,Refrigerated,Ambient,B06-B-09
SKU-10792,Frozen,Ambient,B14-E-13
SKU-10793,Refrigerated,Frozen,D16-F-07
SKU-10794,Frozen,Refrigerated,C15-B-15
SKU-10796,Frozen,Ambient,B20-B-07
SKU-10798,Ambient,Refrigerated,C17-C-04
